"","extent","service","color","metric","value"
"1","Seven seas (open ocean)","Coastal Protection","#9e9ac8","year_1992",1.83102416992188
"2","Seven seas (open ocean)","Coastal Protection","#9e9ac8","year_2020",1.84829533100128
"3","Seven seas (open ocean)","Coastal Protection","#9e9ac8","pct_change",0.943251397939587
"4","North America","Coastal Protection","#9e9ac8","year_1992",1.31297254562378
"5","North America","Coastal Protection","#9e9ac8","year_2020",1.31063854694366
"6","North America","Coastal Protection","#9e9ac8","pct_change",-0.177764469477996
"7","South America","Coastal Protection","#9e9ac8","year_1992",1.975252866745
"8","South America","Coastal Protection","#9e9ac8","year_2020",1.9414781332016
"9","South America","Coastal Protection","#9e9ac8","pct_change",-1.70989416656598
"10","Antarctica","Coastal Protection","#9e9ac8","year_1992",NA
"11","Antarctica","Coastal Protection","#9e9ac8","year_2020",NA
"12","Antarctica","Coastal Protection","#9e9ac8","pct_change",NA
"13","Oceania","Coastal Protection","#9e9ac8","year_1992",1.50851666927338
"14","Oceania","Coastal Protection","#9e9ac8","year_2020",1.50531125068665
"15","Oceania","Coastal Protection","#9e9ac8","pct_change",-0.212488111800186
"16","Asia","Coastal Protection","#9e9ac8","year_1992",1.61624205112457
"17","Asia","Coastal Protection","#9e9ac8","year_2020",1.61022055149078
"18","Asia","Coastal Protection","#9e9ac8","pct_change",-0.37256174776547
"19","Africa","Coastal Protection","#9e9ac8","year_1992",1.46390521526337
"20","Africa","Coastal Protection","#9e9ac8","year_2020",1.4751638174057
"21","Africa","Coastal Protection","#9e9ac8","pct_change",0.769079994042132
"22","Europe","Coastal Protection","#9e9ac8","year_1992",1.26582646369934
"23","Europe","Coastal Protection","#9e9ac8","year_2020",1.25826001167297
"24","Europe","Coastal Protection","#9e9ac8","pct_change",-0.597747972834848
"25","Seven seas (open ocean)","Nitrogen Export","#2c944c","year_1992",NA
"26","Seven seas (open ocean)","Nitrogen Export","#2c944c","year_2020",NA
"27","Seven seas (open ocean)","Nitrogen Export","#2c944c","pct_change",NA
"28","North America","Nitrogen Export","#2c944c","year_1992",18.716926574707
"29","North America","Nitrogen Export","#2c944c","year_2020",18.992977142334
"30","North America","Nitrogen Export","#2c944c","pct_change",1.47487124301721
"31","South America","Nitrogen Export","#2c944c","year_1992",12.1362314224243
"32","South America","Nitrogen Export","#2c944c","year_2020",12.4089498519897
"33","South America","Nitrogen Export","#2c944c","pct_change",2.24714262667646
"34","Antarctica","Nitrogen Export","#2c944c","year_1992",NA
"35","Antarctica","Nitrogen Export","#2c944c","year_2020",NA
"36","Antarctica","Nitrogen Export","#2c944c","pct_change",NA
"37","Oceania","Nitrogen Export","#2c944c","year_1992",13.1319904327393
"38","Oceania","Nitrogen Export","#2c944c","year_2020",13.3262872695923
"39","Oceania","Nitrogen Export","#2c944c","pct_change",1.47956882734698
"40","Asia","Nitrogen Export","#2c944c","year_1992",48.0055236816406
"41","Asia","Nitrogen Export","#2c944c","year_2020",49.0168647766113
"42","Asia","Nitrogen Export","#2c944c","pct_change",2.10671818034449
"43","Africa","Nitrogen Export","#2c944c","year_1992",10.500883102417
"44","Africa","Nitrogen Export","#2c944c","year_2020",10.8073921203613
"45","Africa","Nitrogen Export","#2c944c","pct_change",2.91888801117833
"46","Europe","Nitrogen Export","#2c944c","year_1992",22.9671573638916
"47","Europe","Nitrogen Export","#2c944c","year_2020",22.829231262207
"48","Europe","Nitrogen Export","#2c944c","pct_change",-0.600536233105827
"49","Seven seas (open ocean)","Sediment Export","#08306b","year_1992",NA
"50","Seven seas (open ocean)","Sediment Export","#08306b","year_2020",NA
"51","Seven seas (open ocean)","Sediment Export","#08306b","pct_change",NA
"52","North America","Sediment Export","#08306b","year_1992",16.5604400634766
"53","North America","Sediment Export","#08306b","year_2020",16.9032897949219
"54","North America","Sediment Export","#08306b","pct_change",2.07029360410198
"55","South America","Sediment Export","#08306b","year_1992",56.3603401184082
"56","South America","Sediment Export","#08306b","year_2020",55.5520858764648
"57","South America","Sediment Export","#08306b","pct_change",-1.43408332924416
"58","Antarctica","Sediment Export","#08306b","year_1992",NA
"59","Antarctica","Sediment Export","#08306b","year_2020",NA
"60","Antarctica","Sediment Export","#08306b","pct_change",NA
"61","Oceania","Sediment Export","#08306b","year_1992",15.4390239715576
"62","Oceania","Sediment Export","#08306b","year_2020",18.0874900817871
"63","Oceania","Sediment Export","#08306b","pct_change",17.1543623166115
"64","Asia","Sediment Export","#08306b","year_1992",111.796363830566
"65","Asia","Sediment Export","#08306b","year_2020",113.54328918457
"66","Asia","Sediment Export","#08306b","pct_change",1.56259586103496
"67","Africa","Sediment Export","#08306b","year_1992",43.3114585876465
"68","Africa","Sediment Export","#08306b","year_2020",43.8466300964355
"69","Africa","Sediment Export","#08306b","pct_change",1.23563492489178
"70","Europe","Sediment Export","#08306b","year_1992",13.3994207382202
"71","Europe","Sediment Export","#08306b","year_2020",13.7912635803223
"72","Europe","Sediment Export","#08306b","pct_change",2.92432672842651
"73","Seven seas (open ocean)","Nature Access","#A57C00","year_1992",84595.109375
"74","Seven seas (open ocean)","Nature Access","#A57C00","year_2020",423345.28125
"75","Seven seas (open ocean)","Nature Access","#A57C00","pct_change",400.437063534443
"76","North America","Nature Access","#A57C00","year_1992",50240.89453125
"77","North America","Nature Access","#A57C00","year_2020",150866.390625
"78","North America","Nature Access","#A57C00","pct_change",200.28603597247
"79","South America","Nature Access","#A57C00","year_1992",21604.134765625
"80","South America","Nature Access","#A57C00","year_2020",47292.9375
"81","South America","Nature Access","#A57C00","pct_change",118.906880618284
"82","Antarctica","Nature Access","#A57C00","year_1992",NA
"83","Antarctica","Nature Access","#A57C00","year_2020",NA
"84","Antarctica","Nature Access","#A57C00","pct_change",NA
"85","Oceania","Nature Access","#A57C00","year_1992",7727.99609375
"86","Oceania","Nature Access","#A57C00","year_2020",27939.35546875
"87","Oceania","Nature Access","#A57C00","pct_change",261.534285600194
"88","Asia","Nature Access","#A57C00","year_1992",29660.078125
"89","Asia","Nature Access","#A57C00","year_2020",100043.1015625
"90","Asia","Nature Access","#A57C00","pct_change",237.298847092973
"91","Africa","Nature Access","#A57C00","year_1992",14844.921875
"92","Africa","Nature Access","#A57C00","year_2020",35586.34375
"93","Africa","Nature Access","#A57C00","pct_change",139.720653632608
"94","Europe","Nature Access","#A57C00","year_1992",55506.20703125
"95","Europe","Nature Access","#A57C00","year_2020",197555.25
"96","Europe","Nature Access","#A57C00","pct_change",255.915600373804
"97","Seven seas (open ocean)","Pollination","#dd1c77","year_1992",0
"98","Seven seas (open ocean)","Pollination","#dd1c77","year_2020",0
"99","Seven seas (open ocean)","Pollination","#dd1c77","pct_change",NA
"100","North America","Pollination","#dd1c77","year_1992",0.109970182180405
"101","North America","Pollination","#dd1c77","year_2020",0.117739267647266
"102","North America","Pollination","#dd1c77","pct_change",7.06472001120803
"103","South America","Pollination","#dd1c77","year_1992",0.14462748169899
"104","South America","Pollination","#dd1c77","year_2020",0.145101472735405
"105","South America","Pollination","#dd1c77","pct_change",0.327732344397378
"106","Antarctica","Pollination","#dd1c77","year_1992",0
"107","Antarctica","Pollination","#dd1c77","year_2020",0
"108","Antarctica","Pollination","#dd1c77","pct_change",NA
"109","Oceania","Pollination","#dd1c77","year_1992",0.0381442680954933
"110","Oceania","Pollination","#dd1c77","year_2020",0.0403157286345959
"111","Oceania","Pollination","#dd1c77","pct_change",5.69275712321021
"112","Asia","Pollination","#dd1c77","year_1992",0.407083600759506
"113","Asia","Pollination","#dd1c77","year_2020",0.443935185670853
"114","Asia","Pollination","#dd1c77","pct_change",9.05258400058172
"115","Africa","Pollination","#dd1c77","year_1992",0.0493973195552826
"116","Africa","Pollination","#dd1c77","year_2020",0.0576700940728188
"117","Africa","Pollination","#dd1c77","pct_change",16.7474158355451
"118","Europe","Pollination","#dd1c77","year_1992",0.189185038208961
"119","Europe","Pollination","#dd1c77","year_2020",0.197676777839661
"120","Europe","Pollination","#dd1c77","pct_change",4.48858943132734
