"","Sub_Region","mean","stdev","raster_name","year","service"
"1","Caribbean",0.901245713233948,0.0690315216779709,"global_n_retention_1992_compressed",1992,"n_ret"
"2","Antarctica",NA,NA,"global_n_retention_1992_compressed",1992,"n_ret"
"3","Oceania",0.813685059547424,0.0846752598881721,"global_n_retention_1992_compressed",1992,"n_ret"
"4","Western Asia",0.6651651263237,0.103208377957344,"global_n_retention_1992_compressed",1992,"n_ret"
"5","South-East Asia",0.879826068878174,0.0728662386536598,"global_n_retention_1992_compressed",1992,"n_ret"
"6","Mesoamerica",0.872625648975372,0.0693699792027473,"global_n_retention_1992_compressed",1992,"n_ret"
"7","South America",0.877717316150665,0.0797765180468559,"global_n_retention_1992_compressed",1992,"n_ret"
"8","Southern Africa",0.853405594825745,0.0774222388863564,"global_n_retention_1992_compressed",1992,"n_ret"
"9","North Africa",0.688169419765472,0.107218109071255,"global_n_retention_1992_compressed",1992,"n_ret"
"10","West Africa",0.772101104259491,0.110326953232288,"global_n_retention_1992_compressed",1992,"n_ret"
"11","Central and Western Europe",0.841309189796448,0.0970050841569901,"global_n_retention_1992_compressed",1992,"n_ret"
"12","Central Africa",0.858002305030823,0.101194851100445,"global_n_retention_1992_compressed",1992,"n_ret"
"13","Eastern Europe",0.876640558242798,0.0820311307907104,"global_n_retention_1992_compressed",1992,"n_ret"
"14","Central Asia",0.779339730739594,0.10009590536356,"global_n_retention_1992_compressed",1992,"n_ret"
"15","East Africa and adjacent islands",0.843574106693268,0.0747679322957993,"global_n_retention_1992_compressed",1992,"n_ret"
"16","South Asia",0.771730899810791,0.115419045090675,"global_n_retention_1992_compressed",1992,"n_ret"
"17","North America",0.879558861255646,0.0732187628746033,"global_n_retention_1992_compressed",1992,"n_ret"
"18","North-East Asia",0.783173084259033,0.115675210952759,"global_n_retention_1992_compressed",1992,"n_ret"
"19","Caribbean",0.901058077812195,0.0692449808120728,"global_n_retention_1995_compressed",1995,"n_ret"
"20","Antarctica",NA,NA,"global_n_retention_1995_compressed",1995,"n_ret"
"21","Oceania",0.813351154327393,0.0846458822488785,"global_n_retention_1995_compressed",1995,"n_ret"
"22","Western Asia",0.665010631084442,0.103123970329762,"global_n_retention_1995_compressed",1995,"n_ret"
"23","South-East Asia",0.879132747650146,0.0732240602374077,"global_n_retention_1995_compressed",1995,"n_ret"
"24","Mesoamerica",0.872372210025787,0.0695528611540794,"global_n_retention_1995_compressed",1995,"n_ret"
"25","South America",0.877267837524414,0.0799888074398041,"global_n_retention_1995_compressed",1995,"n_ret"
"26","Southern Africa",0.853161454200745,0.0775110051035881,"global_n_retention_1995_compressed",1995,"n_ret"
"27","North Africa",0.688083291053772,0.107178933918476,"global_n_retention_1995_compressed",1995,"n_ret"
"28","West Africa",0.771587312221527,0.110276751220226,"global_n_retention_1995_compressed",1995,"n_ret"
"29","Central and Western Europe",0.840603649616241,0.0972302779555321,"global_n_retention_1995_compressed",1995,"n_ret"
"30","Central Africa",0.857781291007996,0.101242020726204,"global_n_retention_1995_compressed",1995,"n_ret"
"31","Eastern Europe",0.876322031021118,0.0822460204362869,"global_n_retention_1995_compressed",1995,"n_ret"
"32","Central Asia",0.779183924198151,0.100120261311531,"global_n_retention_1995_compressed",1995,"n_ret"
"33","East Africa and adjacent islands",0.843259394168854,0.0748239830136299,"global_n_retention_1995_compressed",1995,"n_ret"
"34","South Asia",0.771362483501434,0.115392342209816,"global_n_retention_1995_compressed",1995,"n_ret"
"35","North America",0.879445135593414,0.0733209103345871,"global_n_retention_1995_compressed",1995,"n_ret"
"36","North-East Asia",0.782603621482849,0.115574270486832,"global_n_retention_1995_compressed",1995,"n_ret"
"37","Caribbean",0.901019990444183,0.0693347826600075,"global_n_retention_1998_compressed",1998,"n_ret"
"38","Antarctica",NA,NA,"global_n_retention_1998_compressed",1998,"n_ret"
"39","Oceania",0.813137590885162,0.084694616496563,"global_n_retention_1998_compressed",1998,"n_ret"
"40","Western Asia",0.664930701255798,0.103076905012131,"global_n_retention_1998_compressed",1998,"n_ret"
"41","South-East Asia",0.878463208675385,0.073558010160923,"global_n_retention_1998_compressed",1998,"n_ret"
"42","Mesoamerica",0.871988594532013,0.0698826313018799,"global_n_retention_1998_compressed",1998,"n_ret"
"43","South America",0.876820862293243,0.0802371725440025,"global_n_retention_1998_compressed",1998,"n_ret"
"44","Southern Africa",0.852575421333313,0.0776440501213074,"global_n_retention_1998_compressed",1998,"n_ret"
"45","North Africa",0.688015937805176,0.10716000944376,"global_n_retention_1998_compressed",1998,"n_ret"
"46","West Africa",0.771189391613007,0.110299579799175,"global_n_retention_1998_compressed",1998,"n_ret"
"47","Central and Western Europe",0.840231776237488,0.097415566444397,"global_n_retention_1998_compressed",1998,"n_ret"
"48","Central Africa",0.857545137405396,0.101315334439278,"global_n_retention_1998_compressed",1998,"n_ret"
"49","Eastern Europe",0.876205384731293,0.0823246687650681,"global_n_retention_1998_compressed",1998,"n_ret"
"50","Central Asia",0.779088079929352,0.100179739296436,"global_n_retention_1998_compressed",1998,"n_ret"
"51","East Africa and adjacent islands",0.842992782592773,0.0748782306909561,"global_n_retention_1998_compressed",1998,"n_ret"
"52","South Asia",0.771041214466095,0.11533635109663,"global_n_retention_1998_compressed",1998,"n_ret"
"53","North America",0.879361927509308,0.0733891949057579,"global_n_retention_1998_compressed",1998,"n_ret"
"54","North-East Asia",0.782188951969147,0.115503884851933,"global_n_retention_1998_compressed",1998,"n_ret"
"55","Caribbean",0.901269018650055,0.069406546652317,"global_n_retention_2001_compressed",2001,"n_ret"
"56","Antarctica",NA,NA,"global_n_retention_2001_compressed",2001,"n_ret"
"57","Oceania",0.812568545341492,0.0846475586295128,"global_n_retention_2001_compressed",2001,"n_ret"
"58","Western Asia",0.664580106735229,0.102943062782288,"global_n_retention_2001_compressed",2001,"n_ret"
"59","South-East Asia",0.877669036388397,0.073991671204567,"global_n_retention_2001_compressed",2001,"n_ret"
"60","Mesoamerica",0.871087908744812,0.0711562484502792,"global_n_retention_2001_compressed",2001,"n_ret"
"61","South America",0.876194715499878,0.0805121809244156,"global_n_retention_2001_compressed",2001,"n_ret"
"62","Southern Africa",0.850566864013672,0.0779563933610916,"global_n_retention_2001_compressed",2001,"n_ret"
"63","North Africa",0.687685072422028,0.107038572430611,"global_n_retention_2001_compressed",2001,"n_ret"
"64","West Africa",0.770954608917236,0.110589757561684,"global_n_retention_2001_compressed",2001,"n_ret"
"65","Central and Western Europe",0.839197993278503,0.0978492870926857,"global_n_retention_2001_compressed",2001,"n_ret"
"66","Central Africa",0.857185482978821,0.101438760757446,"global_n_retention_2001_compressed",2001,"n_ret"
"67","Eastern Europe",0.875946700572968,0.0824873894453049,"global_n_retention_2001_compressed",2001,"n_ret"
"68","Central Asia",0.779603064060211,0.100292690098286,"global_n_retention_2001_compressed",2001,"n_ret"
"69","East Africa and adjacent islands",0.842374980449677,0.0749449655413628,"global_n_retention_2001_compressed",2001,"n_ret"
"70","South Asia",0.770239293575287,0.115390479564667,"global_n_retention_2001_compressed",2001,"n_ret"
"71","North America",0.879233360290527,0.0734996646642685,"global_n_retention_2001_compressed",2001,"n_ret"
"72","North-East Asia",0.781340777873993,0.115404553711414,"global_n_retention_2001_compressed",2001,"n_ret"
"73","Caribbean",0.901253283023834,0.0694622024893761,"global_n_retention_2004_compressed",2004,"n_ret"
"74","Antarctica",NA,NA,"global_n_retention_2004_compressed",2004,"n_ret"
"75","Oceania",0.812426090240479,0.084686167538166,"global_n_retention_2004_compressed",2004,"n_ret"
"76","Western Asia",0.664414942264557,0.102804757654667,"global_n_retention_2004_compressed",2004,"n_ret"
"77","South-East Asia",0.877104341983795,0.0742525458335876,"global_n_retention_2004_compressed",2004,"n_ret"
"78","Mesoamerica",0.87082850933075,0.0714674517512321,"global_n_retention_2004_compressed",2004,"n_ret"
"79","South America",0.875547289848328,0.0807290822267532,"global_n_retention_2004_compressed",2004,"n_ret"
"80","Southern Africa",0.850272238254547,0.0781925320625305,"global_n_retention_2004_compressed",2004,"n_ret"
"81","North Africa",0.687594592571259,0.106951951980591,"global_n_retention_2004_compressed",2004,"n_ret"
"82","West Africa",0.770947277545929,0.110768467187881,"global_n_retention_2004_compressed",2004,"n_ret"
"83","Central and Western Europe",0.83877956867218,0.098220206797123,"global_n_retention_2004_compressed",2004,"n_ret"
"84","Central Africa",0.857205390930176,0.101500317454338,"global_n_retention_2004_compressed",2004,"n_ret"
"85","Eastern Europe",0.875903904438019,0.0826486796140671,"global_n_retention_2004_compressed",2004,"n_ret"
"86","Central Asia",0.779573857784271,0.100411266088486,"global_n_retention_2004_compressed",2004,"n_ret"
"87","East Africa and adjacent islands",0.842434883117676,0.0750085934996605,"global_n_retention_2004_compressed",2004,"n_ret"
"88","South Asia",0.770083010196686,0.11532586067915,"global_n_retention_2004_compressed",2004,"n_ret"
"89","North America",0.879218995571136,0.0735761672258377,"global_n_retention_2004_compressed",2004,"n_ret"
"90","North-East Asia",0.78105765581131,0.115376874804497,"global_n_retention_2004_compressed",2004,"n_ret"
